can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$29,978.22 ",2/10/16,"$4,697,900.24 ",Support,Direct Mail Production - also opposes Rubio & Kasich,The Stoneridge Group LLC,1049063,N,1,2.01602E+17,2/11/16, ,2/10/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$483.33 ,11/3/15,"$4,692,922.34 ",Support,Media production,Revolution Agency,1031950,N,2,2.01511E+17,11/5/15, ,11/3/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,633,133.92 ",10/27/15,"$4,692,439.01 ",Support,Media placement,Oath Strategies LLC,1031949,N,3,2.01511E+17,11/5/15, ,11/3/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$155,000.00 ",2/5/16,"$4,667,922.02 ",Support,Media Placement - also opposes Rubio,Oath Strategies LLC,1048893,N,1,2.01602E+17,2/10/16, ,2/9/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$58,424.33 ",2/9/16,"$4,512,922.02 ",Oppose,Direct Mail Postage,Redwave Communications LLC,1048891,N,2,2.01602E+17,2/10/16, ,2/9/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$286,231.33 ",1/22/16,"$4,454,497.69 ",Oppose,Direct Mail Production,Redwave Communications LLC,1048891,N,1,2.01602E+17,2/10/16, ,2/9/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$90,000.00 ",2/8/16,"$4,168,266.36 ",Support,Media Placement - also opposes Rubio,Revolution Agency,1048730,N,1,2.01602E+17,2/9/16, ,2/8/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,557.09 ",2/8/16,"$4,078,266.36 ",Oppose,Media Production,Revolution Agency,1048727,N,2,2.01602E+17,2/9/16, ,2/8/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$18,053.75 ",2/8/16,"$4,076,709.27 ",Support,Media Production,Revolution Agency,1048459,N,2,2.01602E+17,2/8/16, ,2/7/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$167.91 ,2/8/16,"$4,058,655.52 ",Support,Media Production,Revolution Agency,1048457,N,2,2.01602E+17,2/8/16, ,2/7/16
